,movie,year,genre,cast
888,Forushande,2016,"Drama, Thriller","Taraneh Alidoosti, Shahab Hosseini, Babak Karimi, Mina Sadati, "
889,Batman: Mask of the Phantasm,1993,"Animation, Action, Adventure","Bruce Timm, Kevin Altieri, Boyd Kirkland, Frank Paur, "
890,Lage Raho Munna Bhai,2006,"Comedy, Drama, Fantasy","Sanjay Dutt, Arshad Warsi, Vidya Balan, Jimmy Sheirgill, "
891,Stagecoach,1939,"Adventure, Western","John Wayne, Claire Trevor, Andy Devine, John Carradine, "
892,The Last Picture Show,1971,Drama,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson, "
893,Zelig,1983,Comedy,"Woody Allen, Mia Farrow, Patrick Horgan, John Buckwalter, "
894,Hævnen,2010,"Drama, Romance","Mikael Persbrandt, Trine Dyrholm, Markus Rygaard, Wil Johnson, "
895,Andrei Rublev,1966,"Biography, Drama, History","Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev, "
896,A Hard Day's Night,1964,"Comedy, Music, Musical","John Lennon, Paul McCartney, George Harrison, Ringo Starr, "
897,Darbareye Elly,2009,"Drama, Mystery, Thriller","Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti, Merila Zare'i, "
898,Boy A,2007,Drama,"Andrew Garfield, Peter Mullan, Shaun Evans, Siobhan Finneran, "
899,Paper Moon,1973,"Comedy, Crime, Drama","Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman, "
900,Withnail & I,1987,"Comedy, Drama","Richard E. Grant, Paul McGann, Richard Griffiths, Ralph Brown, "
901,East of Eden,1955,Drama,"James Dean, Raymond Massey, Julie Harris, Burl Ives, "
902,The Broken Circle Breakdown,2012,"Drama, Music, Romance","Veerle Baetens, Johan Heldenbergh, Nell Cattrysse, Geert Van Rampelberg, "
903,Taegukgi hwinalrimyeo,2004,"Action, Drama, War","Dong-Gun Jang, Won Bin, Eun-ju Lee, Hyeong-jin Kong, "
904,Miracle on 34th Street,1947,"Comedy, Drama, Family","Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart, "
905,Madeo,2009,"Action, Crime, Drama","Hye-ja Kim, Won Bin, Goo Jin, Je-mun Yun, "
906,Sophie's Choice,1982,"Drama, Romance","Meryl Streep, Kevin Kline, Peter MacNicol, Rita Karin, "
907,La double vie de Véronique,1991,"Drama, Fantasy, Music","Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska, Kalina Jedrusik, "
908,Paddington 2,2017,"Animation, Adventure, Comedy","Ben Whishaw, Hugh Grant, Hugh Bonneville, Sally Hawkins, "
909,Belle de jour,1967,Drama,"Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page, "
910,Amarcord,1973,"Comedy, Drama","Magali Noël, Bruno Zanin, Pupella Maggio, Armando Brancia, "
911,En man som heter Ove,2015,"Comedy, Drama, Romance","Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll, "
912,Only the Brave,2017,"Biography, Drama","Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly, "
913,Fiddler on the Roof,1971,"Drama, Family, Musical","Topol, Norma Crane, Leonard Frey, Molly Picon, "
914,Guess Who's Coming to Dinner,1967,"Comedy, Drama","Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton, "
915,Upgrade,2018,"Action, Horror, Sci-Fi","Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden, "
916,Kis Uykusu,2014,Drama,"Haluk Bilginer, Melisa Sözen, Demet Akbag, Ayberk Pekcan, "
917,Hamlet,1996,Drama,"Kenneth Branagh, Julie Christie, Derek Jacobi, Kate Winslet, "
918,The Day of the Jackal,1973,"Crime, Drama, Thriller","Edward Fox, Terence Alexander, Michel Auclair, Alan Badel, "
919,Le dîner de cons,1998,Comedy,"Thierry Lhermitte, Jacques Villeret, Francis Huster, Daniel Prévost, "
920,Vicky Donor,2012,"Comedy, Romance","Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia, "
921,Ondskan,2003,Drama,"Andreas Wilson, Henrik Lundström, Gustaf Skarsgård, Linda Zilliacus, "
922,Key Largo,1948,"Action, Crime, Drama","Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore, "
923,Secrets & Lies,1996,Drama,"Timothy Spall, Brenda Blethyn, Phyllis Logan, Claire Rushbrook, "
924,Le locataire,1976,"Drama, Thriller","Roman Polanski, Isabelle Adjani, Melvyn Douglas, Jo Van Fleet, "
925,Zulu,1964,"Drama, History, War","Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth, "
926,Bir Zamanlar Anadolu'da,2011,"Crime, Drama","Muhammet Uzuner, Yilmaz Erdogan, Taner Birsel, Ahmet Mümtaz Taylan, "
927,Shane,1953,"Drama, Western","Alan Ladd, Jean Arthur, Van Heflin, Brandon De Wilde, "
928,Jules et Jim,1962,"Drama, Romance","Jeanne Moreau, Oskar Werner, Henri Serre, Vanna Urbino, "
929,Le charme discret de la bourgeoisie,1972,Comedy,"Fernando Rey, Delphine Seyrig, Paul Frankeur, Bulle Ogier, "
930,Love and Death,1975,"Comedy, War","Woody Allen, Diane Keaton, Georges Adet, Frank Adu, "
931,Central do Brasil,1998,Drama,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra, Soia Lira, "
932,The Secret of NIMH,1982,"Animation, Adventure, Drama","Elizabeth Hartman, Derek Jacobi, Dom DeLuise, Arthur Malet, "
933,The Time Machine,1960,"Adventure, Romance, Sci-Fi","Rod Taylor, Alan Young, Yvette Mimieux, Sebastian Cabot, "
934,Loving Vincent,2017,"Animation, Biography, Crime","Hugh Welchman, Douglas Booth, Jerome Flynn, Robert Gulaczyk, "
935,Kind Hearts and Coronets,1949,"Comedy, Crime","Dennis Price, Alec Guinness, Valerie Hobson, Joan Greenwood, "
936,Kokuhaku,2010,"Drama, Thriller","Takako Matsu, Yoshino Kimura, Masaki Okada, Yukito Nishii, "
937,The Verdict,1982,Drama,"Paul Newman, Charlotte Rampling, Jack Warden, James Mason, "
938,The Quiet Man,1952,"Comedy, Drama, Romance","John Wayne, Maureen O'Hara, Barry Fitzgerald, Ward Bond, "
939,Zui quan,1978,"Action, Comedy","Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Dean Shek, "
940,Brief Encounter,1945,"Drama, Romance","Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey, "
941,Jûbê ninpûchô,1993,"Animation, Action, Adventure","Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka, "
942,Dalkomhan insaeng,2005,"Action, Drama","Byung-Hun Lee, Min-a Shin, Yeong-cheol Kim, Jung-min Hwang, "
943,Giant,1956,"Drama, Western","Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker, "
944,La Grande Illusion,1937,"Drama, War","Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim, "
945,Black,2005,Drama,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor, "
946,Little Big Man,1970,"Adventure, Comedy, Drama","Dustin Hoffman, Faye Dunaway, Chief Dan George, Martin Balsam, "
947,C.R.A.Z.Y.,2005,"Comedy, Drama","Michel Côté, Marc-André Grondin, Danielle Proulx, Émile Vallée, "
948,Zerkalo,1974,"Biography, Drama","Margarita Terekhova, Filipp Yankovskiy, Ignat Daniltsev, Oleg Yankovskiy, "
949,Stranger Than Paradise,1984,"Comedy, Drama","John Lurie, Eszter Balint, Richard Edson, Cecillia Stark, "
950,Il postino,1994,"Biography, Comedy, Drama","Massimo Troisi, Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, "
951,Mandariinid,2013,"Drama, War","Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze, Misha Meskhi, "
952,The Sweet Hereafter,1997,Drama,"Ian Holm, Sarah Polley, Caerthan Banks, Tom McCamus, "
953,La montaña sagrada,1973,"Adventure, Drama, Fantasy","Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders, Juan Ferrara, "
954,The Lost Weekend,1945,"Drama, Film-Noir","Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, "
955,Sherlock Jr.,1924,"Action, Comedy, Romance","Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly, "
956,Le violon rouge,1998,"Drama, Music, Mystery","Carlo Cecchi, Jean-Luc Bideau, Christoph Koncz, Jason Flemyng, "
957,Pink,III) (2016,Drama,"Tapsee Pannu, Amitabh Bachchan, Kirti Kulhari, Andrea Tariang, "
958,Watership Down,1978,"Animation, Adventure, Drama","John Hurt, Richard Briers, Ralph Richardson, Michael Graham Cox, "
959,Spoorloos,1988,"Mystery, Thriller","Bernard-Pierre Donnadieu, Gene Bervoets, Johanna ter Steege, Gwen Eckhaus, "
960,Sanju,2018,"Biography, Drama","Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal, "
961,Hedwig and the Angry Inch,2001,"Comedy, Drama, Music","John Cameron Mitchell, Miriam Shor, Stephen Trask, Theodore Liscinski, "
962,Mustang,2015,Drama,"Günes Sensoy, Doga Zeynep Doguslu, Tugba Sunguroglu, Elit Iscan, "
963,Efter brylluppet,2006,Drama,"Mads Mikkelsen, Sidse Babett Knudsen, Rolf Lassgård, Neeral Mulchandani, "
964,Sin nombre,2009,"Adventure, Crime, Drama","Paulina Gaitan, Marco Antonio Aguirre, Leonardo Alonso, Karla Cecilia Alvarado, "
965,Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller","Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç, "
966,English Vinglish,2012,"Comedy, Drama, Family","Sridevi, Adil Hussain, Mehdi Nebbou, Priya Anand, "
967,Naked,1993,"Comedy, Drama","David Thewlis, Lesley Sharp, Katrin Cartlidge, Greg Cruttwell, "
968,Once Were Warriors,1994,"Crime, Drama","Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell, Julian Arahanga, "
969,The Muppet Movie,1979,"Adventure, Comedy, Family","Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt, "
970,Kakushi-toride no san-akunin,1958,"Adventure, Drama","Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara, "
971,The Many Adventures of Winnie the Pooh,1977,"Animation, Comedy, Family","Wolfgang Reitherman, Sebastian Cabot, Junius Matthews, Barbara Luddy, "
972,A Little Princess,1995,"Drama, Family, Fantasy","Liesel Matthews, Eleanor Bron, Liam Cunningham, Rusty Schwimmer, "
973,Auf der anderen Seite,2007,Drama,"Baki Davrak, Gürsoy Gemec, Cengiz Daner, Tuncel Kurtiz, "
974,Ookami kodomo no Ame to Yuki,2012,"Animation, Drama, Family","Aoi Miyazaki, Takao Ohsawa, Haru Kuroki, Yukito Nishii, "
975,The Odd Couple,1968,Comedy,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman, "
976,Paan Singh Tomar,2012,"Action, Biography, Crime","Irrfan Khan, Ravi Bhushan Bhartiya, Hemendra Dandotiya, Mahie Gill, "
977,A Night at the Opera,1935,"Comedy, Music, Musical","Edmund Goulding, Groucho Marx, Chico Marx, Harpo Marx, "
978,Out of the Past,1947,"Crime, Drama, Film-Noir","Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming, "
979,Kagemusha,1980,"Drama, History, War","Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara, Jinpachi Nezu, "
980,Au revoir les enfants,1987,"Drama, War","Gaspard Manesse, Raphael Fejtö, Francine Racette, Stanislas Carré de Malberg, "
981,The Secret of Kells,2009,"Animation, Adventure, Family","Nora Twomey, Evan McGuire, Brendan Gleeson, Mick Lally, "
982,A Man for All Seasons,1966,"Biography, Drama, History","Paul Scofield, Wendy Hiller, Robert Shaw, Leo McKern, "
983,Kaguyahime no monogatari,2013,"Animation, Adventure, Drama","Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden, "
984,To Have and Have Not,1944,"Adventure, Comedy, Romance","Humphrey Bogart, Lauren Bacall, Walter Brennan, Dolores Moran, "
985,And Now for Something Completely Different,1971,Comedy,"John Cleese, Michael Palin, Graham Chapman, Terry Gilliam, "
986,Les invasions barbares,2003,"Comedy, Crime, Drama","Rémy Girard, Dorothée Berryman, Stéphane Rousseau, Marie-Josée Croze, "
987,Interstate 60: Episodes of the Road,2002,"Adventure, Comedy, Drama","James Marsden, Gary Oldman, Kurt Russell, Matthew Edison, "
988,Vizontele,2001,"Comedy, Drama","Ömer Faruk Sorak, Yilmaz Erdogan, Demet Akbag, Altan Erkekli, "
989,Romeo and Juliet,1968,"Drama, Romance","Leonard Whiting, Olivia Hussey, John McEnery, Milo O'Shea, "
990,Fitzcarraldo,1982,"Adventure, Drama","Klaus Kinski, Claudia Cardinale, José Lewgoy, Miguel Ángel Fuentes, "
991,Death Note,2006,"Crime, Drama, Fantasy","Tatsuya Fujiwara, Ken'ichi Matsuyama, Asaka Seto, Shigeki Hosokawa, "
992,The Lion in Winter,1968,"Biography, Drama, History","Peter O'Toole, Katharine Hepburn, Anthony Hopkins, John Castle, "
993,Bound by Honor,1993,"Crime, Drama","Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo, "
994,Vampire Hunter D: Bloodlust,2000,"Animation, Action, Adventure","Andrew Philpot, John Rafter Lee, Pamela Adlon, Wendee Lee, "
995,Henry V,1989,"Action, Biography, Drama","Kenneth Branagh, Derek Jacobi, Simon Shepherd, James Larkin, "
996,Peeping Tom,1960,"Drama, Horror, Thriller","Karlheinz Böhm, Anna Massey, Moira Shearer, Maxine Audley, "
997,You Can Count on Me,2000,Drama,"Laura Linney, Matthew Broderick, Amy Ryan, Michael Countryman, "
998,Profondo rosso,1975,"Horror, Mystery, Thriller","David Hemmings, Daria Nicolodi, Gabriele Lavia, Macha Méril, "
999,Giù la testa,1971,"War, Western","Rod Steiger, James Coburn, Romolo Valli, Maria Monti, "
